timestamp,tilt X,tilt Y,alpha,beta,xC_det4,yC_det4,Centroid_det4,xC_det5,yC_det5,Centroid_det5,xC_det14,yC_det14,Centroid_det14
2024-099-00:08:21.200000000,0,90.320399,0.320399,0,-0.00684339400061095,0.135880864549393,0.136053082993874,0.00381349005694343,0.202115616828405,0.20215158983382,-0.00461420310235278,0.0609892678110733,0.0611635647947419
2024-099-00:08:21.300000000,0.000103151678043518,90.3183509832886,0.318351,0.018565,0.0104458592892055,0.153590359652127,0.153945167362797,0.00632800111919529,0.18395444828428,0.184063257174642,-0.00752899541571281,0.0600090127023111,0.0604794789782118
2024-099-00:08:21.400000000,0.000204816362314551,90.3166789337668,0.316679,0.037057,0.0168556718970307,0.137734193260622,0.138761744253431,0.0102240277032151,0.169779093284021,0.170086658085872,-0.00908159525870437,0.0623636442884238,0.0630214209723645
2024-099-00:08:21.500000000,0.000283391829081246,90.290022861545,0.290023,0.055986,-0.0151624822969112,0.126381524093856,0.12728782542604,0.00544591983457193,0.16095012581572,0.161042233724388,-0.00669977198437975,0.0582941323847535,0.0586778733010481
2024-099-00:08:21.600000000,0.000296358736357291,90.2129837938152,0.212984,0.079725,-0.0057950737829529,0.109239267585585,0.109392872083993,0.00307961203340019,0.151578022721977,0.15160930374677,-0.00608952783416353,0.0455525380022558,0.0459577639544181
2024-099-00:08:21.700000000,0.000429495733470996,90.1224642468588,0.122465,0.200942,-0.00454376269406751,0.0540605474174662,0.0542511618907477,0.00238172900287085,0.13724615957263,0.13726682392508,-0.00564766814127805,0.0331707507509935,0.0336481033762461
2024-099-00:08:21.800000000,0.00075312181591484,90.0550018441209,0.055007,0.784483,-0.00481355672971433,0.0351284247657464,0.0354566856165785,0.00153783813997515,0.124356822325496,0.124366330672895,-0.00524963148495012,0.0248321988225994,0.0253810308910589
2024-099-00:08:21.900000000,0.00117638420711242,90.0040006274757,0.00417,16.385969,-0.000929757361743318,0.0173108628881085,0.0173358132974086,0.00134348090587938,0.110509178928412,0.110517345101918,-0.00632653444228442,0.0210589754092083,0.021988758112614
2024-099-00:08:22.000000000,0.0015087640094558,89.9626294443112,0.037401,177.688049,-0.00124100409308655,-0.0148617498014376,0.0149134737174003,0.00108396066717314,0.099144450879845,0.0991503762524075,-0.00706427290179742,0.00899727585660067,0.0114391837327162
2024-099-00:08:22.100000000,0.00183649831157532,89.929407884777,0.070616,178.50975,0.00417039157404417,-0.0324673566381411,0.0327341016823298,0.00133752603646339,0.0871670394787896,0.0871773006429718,-0.00772383212701457,-0.00140312445887232,0.00785024464417436
2024-099-00:08:22.200000000,0.00209159588237066,89.9027054794972,0.097317,178.768469,0.00172178581055648,-0.0506668259952352,0.0506960728539093,0.00137839222601713,0.0744985724511392,0.0745113230481541,-0.00753634487925465,-0.00895572316064225,0.0117047627685969
