"value","timestamp"
11904.3,"2009-10-10 15:26:00.905000000"
11301.1,"2009-10-10 15:26:16.905000000"
10674.1,"2009-10-10 15:26:32.905000000"
10050,"2009-10-10 15:26:48.905000000"
9393.28,"2009-10-10 15:27:04.906000000"
8715.75,"2009-10-10 15:27:20.905000000"
8044.17,"2009-10-10 15:27:36.905000000"
7351.78,"2009-10-10 15:27:52.905000000"
6671.28,"2009-10-10 15:28:08.905000000"
5964.04,"2009-10-10 15:28:24.906000000"
5235.99,"2009-10-10 15:28:40.905000000"
4513.89,"2009-10-10 15:28:56.905000000"
3776.93,"2009-10-10 15:29:12.905000000"
3039.97,"2009-10-10 15:29:28.905000000"
2344.61,"2009-10-10 15:29:44.906000000"
1604.67,"2009-10-10 15:30:00.905000000"
861.769,"2009-10-10 15:30:16.905000000"
210.985,"2009-10-10 15:30:32.905000000"
-537.846,"2009-10-10 15:30:48.905000000"
-1144.04,"2009-10-10 15:31:04.906000000"
-1726.46,"2009-10-10 15:31:20.905000000"
-2412.88,"2009-10-10 15:31:36.905000000"
-3078.5,"2009-10-10 15:31:52.905000000"
-3756.01,"2009-10-10 15:32:08.905000000"
-4383,"2009-10-10 15:32:24.906000000"
-5009.99,"2009-10-10 15:32:40.905000000"
-5634.02,"2009-10-10 15:32:56.905000000"
-6154.03,"2009-10-10 15:33:12.905000000"
-6647.31,"2009-10-10 15:33:28.905000000"
-7101.95,"2009-10-10 15:33:44.906000000"
-7589.28,"2009-10-10 15:34:00.905000000"
-8037.98,"2009-10-10 15:34:16.905000000"
-8358.91,"2009-10-10 15:34:32.905000000"
-8733.32,"2009-10-10 15:34:48.905000000"
-9113.67,"2009-10-10 15:35:04.906000000"
-9497,"2009-10-10 15:35:20.905000000"
-9826.84,"2009-10-10 15:35:36.905000000"
-10109.1,"2009-10-10 15:35:52.905000000"
-10397.4,"2009-10-10 15:36:08.905000000"
-10685.6,"2009-10-10 15:36:24.906000000"
-10938.2,"2009-10-10 15:36:40.905000000"
-11178.9,"2009-10-10 15:36:56.905000000"
